Location,Latitude,Longitude,Country,SeverityScore,IncidentsTotal
POINT(-102.69014 21.86653),"21.867","-102.69",Mexico,0.127,"3"
POINT(-102.325 21.94721),"21.947","-102.325",Mexico,0.033,"4"
POINT(-102.29657 21.94974),"21.95","-102.297",Mexico,0.041,"5"
POINT(-102.33793 21.95558),"21.956","-102.338",Mexico,0.028,"10"
POINT(-102.33839 21.95391),"21.954","-102.338",Mexico,0.025,"4"
POINT(-102.33595 21.96966),"21.97","-102.336",Mexico,0.239,"23"
POINT(-102.32479 21.94207),"21.942","-102.325",Mexico,0.104,"5"
POINT(-102.33414 21.95252),"21.953","-102.334",Mexico,0.084,"5"
POINT(-102.33693 21.95967),"21.96","-102.337",Mexico,0.372,"14"
POINT(-102.25561 21.86032),"21.86","-102.256",Mexico,0.365,"11"
POINT(-102.32437 21.9361),"21.936","-102.324",Mexico,0.062,"9"
POINT(-102.25872 21.88291),"21.883","-102.259",Mexico,0.094,"18"
POINT(-102.29191 21.92118),"21.921","-102.292",Mexico,0.026,"4"
POINT(-102.29488 21.87029),"21.87","-102.295",Mexico,0.071,"3"
POINT(-102.31239 21.88313),"21.883","-102.312",Mexico,0.019,"3"
POINT(-102.30303 21.85933),"21.859","-102.303",Mexico,0.148,"4"
POINT(-102.27079 21.89797),"21.898","-102.271",Mexico,0.147,"11"
POINT(-102.31372 21.87357),"21.874","-102.314",Mexico,0.022,"3"
POINT(-102.26677 21.89503),"21.895","-102.267",Mexico,0.041,"5"
POINT(-102.29188 21.91799),"21.918","-102.292",Mexico,0.174,"42"
POINT(-102.3182 21.91198),"21.912","-102.318",Mexico,0.226,"37"
POINT(-102.31402 21.91702),"21.917","-102.314",Mexico,0.039,"3"
POINT(-102.28869 21.87346),"21.873","-102.289",Mexico,0.105,"3"
POINT(-102.27245 21.88407),"21.884","-102.272",Mexico,0.019,"3"
POINT(-102.27068 21.87321),"21.873","-102.271",Mexico,0.051,"3"
POINT(-102.31122 21.87432),"21.874","-102.311",Mexico,0.045,"4"
POINT(-102.29521 21.8897),"21.89","-102.295",Mexico,0.033,"3"
POINT(-102.24457 21.88965),"21.89","-102.245",Mexico,0.084,"4"
POINT(-102.2959 21.87862),"21.879","-102.296",Mexico,0.089,"12"
POINT(-102.27007 21.90303),"21.903","-102.27",Mexico,0.04,"11"
POINT(-102.27057 21.90073),"21.901","-102.271",Mexico,0.298,"22"
POINT(-102.30532 21.85888),"21.859","-102.305",Mexico,0.15,"5"
POINT(-102.32068 21.93091),"21.931","-102.321",Mexico,0.395,"70"
POINT(-102.30366 21.91595),"21.916","-102.304",Mexico,0.01,"3"
POINT(-102.29294 21.89485),"21.895","-102.293",Mexico,0.074,"3"
POINT(-102.29305 21.92523),"21.925","-102.293",Mexico,0.022,"3"
POINT(-102.30563 21.91603),"21.916","-102.306",Mexico,0.037,"4"
POINT(-102.29314 21.87212),"21.872","-102.293",Mexico,0.02,"3"
POINT(-102.2682 21.86982),"21.87","-102.268",Mexico,0.143,"5"
POINT(-102.2994 21.86631),"21.866","-102.299",Mexico,0.034,"4"
POINT(-102.30572 21.89907),"21.899","-102.306",Mexico,0.022,"3"
POINT(-102.27346 21.88815),"21.888","-102.273",Mexico,0.126,"5"
POINT(-102.31273 21.88579),"21.886","-102.313",Mexico,0.049,"3"
POINT(-102.26803 21.89474),"21.895","-102.268",Mexico,0.027,"3"
POINT(-102.32136 21.93186),"21.932","-102.321",Mexico,0.183,"18"
POINT(-102.26925 21.84281),"21.843","-102.269",Mexico,0.034,"3"
POINT(-102.27963 21.91501),"21.915","-102.28",Mexico,0.039,"4"
POINT(-102.24331 21.87429),"21.874","-102.243",Mexico,0.176,"15"
POINT(-102.2697 21.86916),"21.869","-102.27",Mexico,0.045,"3"
POINT(-102.27368 21.88952),"21.89","-102.274",Mexico,0.015,"4"
POINT(-102.27392 21.91124),"21.911","-102.274",Mexico,0.068,"3"
POINT(-102.29312 21.87903),"21.879","-102.293",Mexico,0.046,"3"
POINT(-102.26446 21.92903),"21.929","-102.264",Mexico,0.157,"3"
POINT(-102.26942 21.86046),"21.86","-102.269",Mexico,0.08,"4"
POINT(-102.29024 21.91533),"21.915","-102.29",Mexico,0.082,"13"
POINT(-102.28762 21.91513),"21.915","-102.288",Mexico,0.102,"6"
POINT(-102.29581 21.89967),"21.9","-102.296",Mexico,0.04,"3"
POINT(-102.29729 21.94024),"21.94","-102.297",Mexico,0.223,"7"
POINT(-102.28629 21.91532),"21.915","-102.286",Mexico,0.059,"6"
POINT(-102.31394 21.85905),"21.859","-102.314",Mexico,0.045,"12"
POINT(-102.28443 21.85986),"21.86","-102.284",Mexico,0.023,"5"
POINT(-102.31244 21.884),"21.884","-102.312",Mexico,0.019,"3"
POINT(-102.29158 21.92405),"21.924","-102.292",Mexico,0.024,"3"
POINT(-102.28299 21.90198),"21.902","-102.283",Mexico,0.016,"3"
POINT(-102.2847 21.91516),"21.915","-102.285",Mexico,0.041,"3"
POINT(-116.61952 32.55555),"32.556","-116.62",Mexico,0.01,"3"
POINT(-116.63295 32.56592),"32.566","-116.633",Mexico,0.162,"6"
POINT(-116.64511 32.56577),"32.566","-116.645",Mexico,0.149,"5"
POINT(-116.6412 32.56688),"32.567","-116.641",Mexico,0.018,"3"
POINT(-116.63556 32.56432),"32.564","-116.636",Mexico,0.452,"18"
POINT(-116.64209 32.56646),"32.566","-116.642",Mexico,0.088,"11"
POINT(-116.61762 32.57415),"32.574","-116.618",Mexico,0.016,"3"
POINT(-116.6358 32.5686),"32.569","-116.636",Mexico,0.03,"5"
POINT(-116.63169 32.56588),"32.566","-116.632",Mexico,0.101,"5"
POINT(-116.98663 32.44028),"32.44","-116.987",Mexico,0.039,"3"
POINT(-117.01322 32.51712),"32.517","-117.013",Mexico,0.048,"13"
POINT(-117.03685 32.53529),"32.535","-117.037",Mexico,0.041,"7"
POINT(-116.98168 32.46618),"32.466","-116.982",Mexico,0.054,"3"
POINT(-117.01727 32.51855),"32.519","-117.017",Mexico,0.033,"5"
POINT(-117.07351 32.4814),"32.481","-117.074",Mexico,0.07,"3"
POINT(-116.92709 32.53977),"32.54","-116.927",Mexico,0.064,"4"
POINT(-117.01296 32.51651),"32.517","-117.013",Mexico,0.032,"8"
POINT(-117.00101 32.51749),"32.517","-117.001",Mexico,0.01,"5"
POINT(-116.9581 32.50677),"32.507","-116.958",Mexico,0.025,"22"
POINT(-116.99812 32.45738),"32.457","-116.998",Mexico,0.062,"5"
POINT(-116.91081 32.49403),"32.494","-116.911",Mexico,0.136,"14"
POINT(-116.93099 32.49454),"32.495","-116.931",Mexico,0.047,"6"
POINT(-117.04609 32.48211),"32.482","-117.046",Mexico,0.022,"21"
POINT(-116.99731 32.5404),"32.54","-116.997",Mexico,0.013,"3"
POINT(-117.02647 32.52292),"32.523","-117.026",Mexico,0.052,"3"
POINT(-116.96799 32.45818),"32.458","-116.968",Mexico,0.096,"3"
POINT(-116.89156 32.45921),"32.459","-116.892",Mexico,0.008,"3"
POINT(-116.91711 32.46827),"32.468","-116.917",Mexico,0.04,"39"
POINT(-116.95951 32.49829),"32.498","-116.96",Mexico,0.021,"5"
POINT(-116.92922 32.50043),"32.5","-116.929",Mexico,0.087,"7"
POINT(-117.04182 32.53413),"32.534","-117.042",Mexico,0.022,"4"
POINT(-116.97188 32.512),"32.512","-116.972",Mexico,0.033,"7"
POINT(-116.94734 32.49803),"32.498","-116.947",Mexico,0.018,"11"
POINT(-116.87282 32.51375),"32.514","-116.873",Mexico,0.034,"3"
POINT(-117.07132 32.53825),"32.538","-117.071",Mexico,0.062,"8"
POINT(-116.95606 32.54739),"32.547","-116.956",Mexico,0.032,"9"
POINT(-116.98727 32.51077),"32.511","-116.987",Mexico,0.071,"33"
POINT(-116.99292 32.51613),"32.516","-116.993",Mexico,0.036,"6"
POINT(-116.91144 32.531),"32.531","-116.911",Mexico,0.052,"3"
POINT(-117.02862 32.47218),"32.472","-117.029",Mexico,0.013,"6"
POINT(-116.87751 32.46174),"32.462","-116.878",Mexico,0.017,"4"
POINT(-116.96651 32.50545),"32.505","-116.967",Mexico,0.041,"4"
POINT(-117.02707 32.44312),"32.443","-117.027",Mexico,0.028,"9"
POINT(-116.97062 32.50832),"32.508","-116.971",Mexico,0.005,"3"
POINT(-116.98041 32.45009),"32.45","-116.98",Mexico,0.265,"21"
POINT(-116.97058 32.52984),"32.53","-116.971",Mexico,0.017,"3"
POINT(-116.94605 32.50252),"32.503","-116.946",Mexico,0.033,"12"
POINT(-117.08491 32.53244),"32.532","-117.085",Mexico,0.01,"3"
POINT(-117.02968 32.52722),"32.527","-117.03",Mexico,0.029,"3"
POINT(-116.97386 32.45581),"32.456","-116.974",Mexico,0.013,"3"
POINT(-116.93252 32.49657),"32.497","-116.933",Mexico,0.055,"17"
POINT(-117.01345 32.52977),"32.53","-117.013",Mexico,0.082,"36"
POINT(-116.88959 32.50199),"32.502","-116.89",Mexico,0.02,"3"
POINT(-117.01033 32.51566),"32.516","-117.01",Mexico,0.018,"4"
POINT(-116.98008 32.51671),"32.517","-116.98",Mexico,0.05,"27"
POINT(-117.0229 32.53151),"32.532","-117.023",Mexico,0.012,"3"
POINT(-116.95414 32.50262),"32.503","-116.954",Mexico,0.008,"5"
POINT(-116.87552 32.51352),"32.514","-116.876",Mexico,0.049,"5"
POINT(-117.00869 32.53379),"32.534","-117.009",Mexico,0.018,"3"
POINT(-116.85249 32.49018),"32.49","-116.852",Mexico,0.055,"14"
POINT(-116.88706 32.4972),"32.497","-116.887",Mexico,0.073,"7"
POINT(-116.94471 32.49649),"32.496","-116.945",Mexico,0.049,"47"
POINT(-116.91975 32.45457),"32.455","-116.92",Mexico,0.036,"3"
POINT(-117.05919 32.53377),"32.534","-117.059",Mexico,0.012,"3"
POINT(-117.05214 32.48325),"32.483","-117.052",Mexico,0.267,"11"
POINT(-117.03203 32.48878),"32.489","-117.032",Mexico,0.024,"4"
POINT(-116.87343 32.51063),"32.511","-116.873",Mexico,0.065,"3"
POINT(-116.99266 32.50927),"32.509","-116.993",Mexico,0.035,"4"
POINT(-116.99684 32.53951),"32.54","-116.997",Mexico,0.01,"3"
POINT(-116.99552 32.48671),"32.487","-116.996",Mexico,0.18,"3"
POINT(-117.0021 32.51771),"32.518","-117.002",Mexico,0.006,"5"
POINT(-117.02989 32.47282),"32.473","-117.03",Mexico,0.019,"4"
POINT(-116.87562 32.43927),"32.439","-116.876",Mexico,0.165,"9"
POINT(-116.98432 32.44566),"32.446","-116.984",Mexico,0.019,"6"
POINT(-116.87831 32.45978),"32.46","-116.878",Mexico,0.201,"5"
POINT(-116.92676 32.49802),"32.498","-116.927",Mexico,0.035,"4"
POINT(-116.86145 32.49687),"32.497","-116.861",Mexico,0.061,"10"
POINT(-117.01039 32.5206),"32.521","-117.01",Mexico,0.07,"52"
POINT(-117.01069 32.5273),"32.527","-117.011",Mexico,0.026,"5"
POINT(-117.03642 32.48155),"32.482","-117.036",Mexico,0.034,"3"
POINT(-116.97308 32.51602),"32.516","-116.973",Mexico,0.159,"70"
POINT(-116.9634 32.51995),"32.52","-116.963",Mexico,0.064,"3"
POINT(-116.95343 32.50214),"32.502","-116.953",Mexico,0.005,"3"
POINT(-116.923 32.48429),"32.484","-116.923",Mexico,0.008,"4"
POINT(-117.02048 32.52699),"32.527","-117.02",Mexico,0.011,"3"
POINT(-116.84572 32.4908),"32.491","-116.846",Mexico,0.04,"3"
POINT(-117.01464 32.52983),"32.53","-117.015",Mexico,0.018,"3"
POINT(-117.06681 32.48342),"32.483","-117.067",Mexico,0.018,"3"
POINT(-116.98133 32.51718),"32.517","-116.981",Mexico,0.047,"7"
POINT(-116.97086 32.5135),"32.514","-116.971",Mexico,0.027,"14"
POINT(-116.96805 32.51573),"32.516","-116.968",Mexico,0.138,"5"
POINT(-117.0041 32.5217),"32.522","-117.004",Mexico,0.014,"6"
POINT(-116.9665 32.51553),"32.516","-116.966",Mexico,0.104,"10"
POINT(-117.00491 32.51993),"32.52","-117.005",Mexico,0.035,"11"
POINT(-116.97083 32.45663),"32.457","-116.971",Mexico,0.091,"4"
POINT(-116.94864 32.54743),"32.547","-116.949",Mexico,0.005,"7"
POINT(-116.91959 32.48726),"32.487","-116.92",Mexico,0.05,"3"
POINT(-116.88979 32.49827),"32.498","-116.89",Mexico,0.056,"21"
POINT(-117.01067 32.52363),"32.524","-117.011",Mexico,0.012,"4"
POINT(-116.90207 32.49708),"32.497","-116.902",Mexico,0.037,"3"
POINT(-116.91065 32.53425),"32.534","-116.911",Mexico,0.076,"4"
POINT(-116.89406 32.45798),"32.458","-116.894",Mexico,0.043,"5"
POINT(-117.02011 32.52975),"32.53","-117.02",Mexico,0.056,"21"
